Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,
Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.29,0,0.07,0.72,55,32,7,28,Artificial Mind and Movement,T,
Rockin' Pretty,DS,2009,Misc,Arc System Works,0.05,0,0,0,0.05,,,,,Arc System Works,E,
Disney Sing It: Party Hits,Wii,2010,Misc,Disney Interactive Studios,0.48,0.1,0,0.04,0.63,,,,,Disney Interactive Studios,E,
The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,66,20,8,35,DreamFactory,T,
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,39,4,8.1,9,WideScreen Games,T,
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6,,,,,,,
Uru: Ages Beyond Myst,PC,2003,Adventure,Ubisoft,0,0.02,0,0,0.02,79,22,7.6,29,Cyan Worlds,E,
Ivy the Kiwi?,Wii,2010,Puzzle,Rising Star Games,0.04,0.02,0,0,0.06,74,30,7.2,12,Prope,E,
Deepak Chopra's Leela,X360,2011,Misc,THQ,0.07,0.04,0,0.01,0.12,,,3.5,4,Curious Pictures,E,
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16,Light Weight,T,
Tournament Pool,Wii,2009,Sports,Destineer,0.1,0,0,0.01,0.11,,,,,Destineer,E,
Wacky World of Sports,Wii,2009,Sports,Sega,0.08,0,0,0.01,0.09,45,10,,,Tabot,E10+,
Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47,85,54,9,142,Silicon Knights,M,
Bomberman Jetters,GC,2002,Puzzle,Hudson Soft,0.06,0.02,0,0,0.08,70,21,7.9,10,Hudson,E,
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,,,,,,,
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,Konami Digital Entertainment,1.64,0.36,0,0.07,2.07,,,,,,,
Horse Life Adventures,Wii,2008,Simulation,Deep Silver,0.12,0.01,0,0.01,0.14,,,,,Neko Entertainment,E,
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995,Platform,Konami Digital Entertainment,0,0,0.31,0,0.31,,,,,,,
Black Mirror 2,PC,2009,Adventure,DTP Entertainment,0,0.04,0,0.01,0.04,,,,,,,
Around the World in 80 Days,DS,2010,Action,PlayV,0,0.14,0,0.02,0.16,,,,,,,
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.56,0,0,0.04,0.61,,,5.5,6,THQ,E,
Rosco McQueen: Firefighter Extreme,PS,1997,Action,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09,,,,,,,
Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft Annecy,0.03,0.02,0.38,0.02,0.45,65,28,6.8,10,Omega Force,T,
Shrek Super Party,PS2,2002,Misc,TDK Mediactive,0.14,0.11,0,0.04,0.29,30,4,5.1,17,Mass Media,E,
Fighting Force 64,N64,1999,Action,Crave Entertainment,0.09,0.02,0,0,0.11,,,,,,,
The Last Story,Wii,2011,Role-Playing,Nintendo,0.3,0.13,0.18,0.04,0.65,80,61,8.4,179,"Mistwalker, Artoon",T,
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,
Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,57,51,6.9,103,Square Enix,T,
Micro Machines V4,PSP,2006,Racing,Codemasters,0.01,0,0,0,0.02,61,18,,,Supersonic Software,E,
Chou Jigen Game Neptune Mk-II,PS3,2011,Role-Playing,Compile Heart,0,0,0.09,0,0.09,,,,,,,
RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.17,49,13,7.6,7,Acclaim,E,
Ultimate Ghosts 'n Goblins,PSP,2006,Platform,Capcom,0.07,0,0,0.01,0.08,72,49,7.7,18,TOSE,E10+,
Saigo no Yakusoku no Monogatari,PSP,2011,Role-Playing,Unknown,0,0,0.11,0,0.11,,,,,,,
Expendable,PS,1999,Action,Infogrames,0.03,0.02,0,0,0.05,,,,,,,
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,0.05,0.03,0.08,0.01,0.17,,,,,,,
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0,0.04,0.35,48,50,5,53,GRIN,T,
Pokemon Box: Ruby & Sapphire,GC,2003,Misc,Nintendo,0,0,0.27,0.01,0.28,,,,,,,
Where's Waldo? The Fantastic Journey,DS,2009,Adventure,Ubisoft,0.2,0,0,0.02,0.21,,,8.9,8,Classic Media Distribution Limited,E,
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,,,,,Harmonix Music Systems,T,
Medal of Honor: Infiltrator,GBA,2003,Shooter,Electronic Arts,0.11,0.04,0,0,0.15,80,19,7.2,12,Netherock Ltd.,T,
My Spanish Coach,PSP,2008,Misc,Ubisoft,0.12,0,0,0.01,0.13,,,,,Ubisoft,E,
Jeremy McGrath Supercross 2000,N64,1999,Racing,Acclaim Entertainment,0.23,0.06,0,0,0.29,,,,,,,
Ukiyo no Shishi,PS3,2015,Action,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,,
Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,0.35,0.27,0,0.09,0.71,85,41,8.8,315,KCET,M,
Sonic Generations,PC,2011,Platform,Sega,0.02,0.07,0,0.02,0.11,77,11,8.3,337,Sega,E,
Dark Summit,PS2,2001,Sports,THQ,0.11,0.08,0,0.03,0.21,67,11,,,Radical Entertainment,T,
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0,0.11,1.06,64,64,7.3,247,Rebellion,M,
UEFA Euro 2008 Austria-Switzerland,PS3,2008,Sports,Electronic Arts,0.08,0.26,0,0.06,0.41,,,,,,,
Earth Defense Force 2: Invaders from Planet Space,PSP,2011,Action,D3Publisher,0,0,0.14,0,0.14,,,,,,,
NCAA Football 10,PSP,2009,Sports,Electronic Arts,0.19,0,0,0.02,0.21,,,,,EA Tiburon,E,
Tiger Woods PGA Tour 08,PS2,2007,Sports,Electronic Arts,0.19,0.15,0,0.05,0.39,65,10,,,EA Salt Lake,E,
The Sims 3,3DS,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,52,29,3.3,31,EA Games,T,
Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Fighting,Capcom,0,0,0.05,0,0.05,,,,,,,
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0,0.04,0.45,71,6,7,58,Ubisoft,E10+,
The Hardy Boys: Treasure on the Tracks,DS,2009,Adventure,Sega,0.1,0,0,0.01,0.11,65,9,,,Her Interactive,E,
Detective Opera: Milky Holmes 2,PSP,2012,Adventure,BushiRoad,0,0,0.03,0,0.03,,,,,,,
Harvest Moon GB,GB,1997,Simulation,Victor Interactive,0,0,0.23,0,0.23,,,,,,,
Army Men: RTS,PS2,2002,Strategy,3DO,0.05,0.04,0,0.01,0.11,68,14,,,Pandemic Studios,T,
Quantum Theory,X360,2010,Shooter,Tecmo Koei,0.06,0.02,0,0.01,0.09,37,39,3.6,31,Tecmo,M,
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010,Action,Namco Bandai Games,0,0,0.04,0,0.04,,,,,,,
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,1.58,53,34,6.7,106,Genius Sonority Inc.,E,
Mario Tennis,Wii,2010,Sports,Nintendo,0,0.06,0,0.01,0.07,,,,,Camelot Software Planning,E,
SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,0.09,0.07,0,0.02,0.17,68,13,,,Wow Entertainment,E,
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,Marvelous Interactive,0,0,0.06,0,0.06,,,,,,,
Mini Ninjas,DS,2009,Action,Eidos Interactive,0.16,0.15,0,0.04,0.34,61,10,5.8,4,Magic Pockets,E10+,
Kamigami no Asobi InFinite,PSV,2016,Adventure,Broccoli,0,0,0.01,0,0.01,,,,,,,
Jissen Pachinko Hisshouhou! CR Sakura Taisen,PS2,2007,Misc,Sega,0,0,0.02,0,0.02,,,,,,,
Dungeon Raiders,DS,2009,Role-Playing,Focus Home Interactive,0.04,0,0,0,0.04,,,,,Cyanide,E10+,
CID The Dummy,PSP,2009,Platform,Oxygen Interactive,0.02,0,0,0,0.03,41,6,,,Twelve Games,E10+,
Domino Rally,Wii,2007,Action,Nordcurrent,0.05,0,0,0,0.05,57,4,,,RED Entertainment,E,
Sudoku Gridmaster,DS,2006,Puzzle,Nintendo,0.13,0.02,0,0.01,0.17,62,14,,,AI,E,
Smart Girl's Party Game,DS,2008,Misc,505 Games,0.31,0,0,0.02,0.34,,,,,Starfish,E,
Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,Atlus,0.13,0,0.14,0.01,0.28,80,26,8.7,69,Atlus,M,
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75,31,7.3,42,EA Canada,E10+,
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.1,0.93,89,38,8.2,2482,Gearbox Software,M,
Happy Feet,DS,2006,Action,Midway Games,0.27,0.01,0,0.02,0.31,,,0.3,9,Artificial Mind and Movement,E,
Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,,,,,,,
Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Namco Bandai Games,0,0,0.54,0,0.54,,,,,,,
Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,2015,Action,Alchemist,0,0,0.05,0,0.05,,,,,,,
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0,0.02,0.3,76,11,7,18,TT Games,E10+,
MTV Music Generator,PS,1999,Misc,Codemasters,0.26,0.18,0,0.03,0.47,,,,,,,
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85,18,6.9,1580,EA DICE,M,
Mario Golf,GB,1999,Action,Nintendo,0,0,0.31,0,0.31,,,,,,,
Bleach: Hanatareshi Yabou,PS2,2006,Role-Playing,Sony Computer Entertainment,0,0,0.07,0,0.07,,,,,,,
MySims Party,DS,2009,Simulation,Electronic Arts,0.15,0.12,0,0.03,0.3,64,9,,,EA Games,E,
Rampage World Tour,PS,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85,,,,,,,
A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02,0.31,,,,,,,
Space Camp,Wii,2009,Action,Activision,0.12,0,0,0.01,0.13,,,6.2,5,7 Studios,E,
Blur,X360,2010,Racing,Activision,0.25,0.27,0,0.06,0.59,82,78,8.3,169,Bizarre Creations,E10+,
Future Tactics: The Uprising,PS2,2004,Strategy,Crave Entertainment,0.03,0.03,0,0.01,0.07,61,25,6,6,Zed Two Limited,T,
Skylanders Imaginators,X360,2016,Platform,Activision,0.04,0.05,0,0.01,0.09,,,,,Toys for Bob,E10+,
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,67,19,5.9,8,M2,E,
Madden NFL 08,XB,2007,Sports,Electronic Arts,0.22,0.06,0,0.01,0.29,76,6,6,4,EA Tiburon,E,
Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,PS2,2008,Adventure,Minato Station,0,0,0.02,0,0.02,,,,,,,
DanceStar Party,PS3,2011,Misc,Sony Computer Entertainment,0,0.34,0,0.1,0.43,,,,,,,
NHL 16,PS4,2015,Sports,Electronic Arts,0.36,0.16,0,0.11,0.63,78,28,5.5,157,"EA Sports, EA Canada",E10+,
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72,19,7.7,72,Nintendo,E,
Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.58,0.31,0.87,3.25,,,,,,,
The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75,56,8.3,99,Electronic Arts,M,
Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,55,61,3.5,145,Terminal Reality,T,
My Friends,DS,2009,Misc,Oxygen Interactive,0.07,0,0,0.01,0.08,,,,,Oxygen Interactive,E,
Imagine: Fashion Designer,3DS,2011,Simulation,Ubisoft,0.1,0.02,0,0.01,0.13,,,,,Ubisoft Sofia,E,
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69,50,4.7,578,EA DICE,T,
Impossible Creatures,PC,2002,Strategy,Microsoft Game Studios,0,0.01,0,0,0.01,72,30,8,39,Relic,T,
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.38,78,30,7,9,SCEE,E10+,
NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,61,15,,,989 Sports,E,
King of Fighters 2002: Unlimited Match Tougeki Ver.,PS2,2010,Fighting,SNK Playmore,0,0,0.01,0,0.01,,,,,,,
Minna no Joushiki Ryoku TV,Wii,2008,Misc,Nintendo,0,0,0.08,0,0.08,,,,,,,
The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision,0.28,0.15,0,0.08,0.51,34,14,3.6,196,Terminal Reality,M,
Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0,0.07,0.43,,,,,,,
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,Nippon Columbia,0,0,0.15,0,0.15,,,,,,,
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0,0.03,0.87,81,33,8.8,17,Red Storm Entertainment,M,
NCAA Football 2004,GC,2003,Sports,Electronic Arts,0.12,0.03,0,0,0.15,89,16,7.5,6,EA Sports,E,
Child of Eden,PS3,2011,Shooter,Ubisoft,0.09,0.1,0,0.04,0.22,81,21,7.8,25,Q Entertainment,E10+,
Azure Dreams,PS,1997,Role-Playing,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,,,,,,,
Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,0.04,0,0.02,0,0.06,76,44,8.5,4,M2,E,
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,2007,Racing,Sunrise Interactive,0,0,0.02,0,0.02,,,,,,,
Pong / Asteroids / Yars' Revenge,GBA,2005,Misc,Zoo Digital Publishing,0.05,0.02,0,0,0.07,,,,,DSI Games,E,
Outlaw Volleyball,XB,2003,Sports,TDK Mediactive,0.19,0.06,0,0.01,0.26,77,33,8.4,7,Hypnotix,M,
Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.18,0.07,0,0,0.26,,,,,,,
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85,83,7.7,1653,Ubisoft Montreal,M,
Open Season,PS2,2006,Platform,Ubisoft,0.01,0.01,0,0,0.03,57,6,,,Ubisoft,E10+,
Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.06,0,0.02,0.18,,,,,,,
Sekai no Gohan Shaberu! DS Oryouri Navi,DS,2008,Misc,Nintendo,0,0,0.04,0,0.04,,,,,,,
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0,0.25,0.34,72,10,8.3,6,Virtuos,T,
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,2002,Fighting,Namco Bandai Games,0.04,0.01,0.08,0,0.14,,,,,,,
R-Type Command (correct US sales),PSP,2007,Strategy,Rising Star Games,0.04,0,0,0,0.04,,,,,,,
ESA Game Pack,PS3,2010,Misc,Sony Computer Entertainment,0.1,0,0,0.01,0.11,,,,,Various,T,
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,2012,Action,Sega,0,0,0.06,0,0.06,,,,,,,
Deus Ex,PC,2000,Role-Playing,Eidos Interactive,0,0.01,0,0,0.01,90,28,9.3,1069,Ion Storm,M,
Army Men World War: Final Front,PS,2001,Action,3DO,0.24,0.17,0,0.03,0.44,,,,,,,
Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,,,,,Bizarre Creations,E,
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ,0.25,0.09,0,0.01,0.34,,,,,,,
DarkStar One,PC,2006,Simulation,Ubisoft,0,0.03,0,0.01,0.03,71,33,7.2,54,Ascaron Entertainment GmbH,T,
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,Misc,Hudson Soft,0,0,0.09,0,0.09,,,,,,,
4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32,64,11,,,Terminal Reality,E,
007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43,,,,,,,
E.T. The Extra-Terrestrial: Interplanetary Mission,PS,2001,Platform,Ubisoft,0.02,0.01,0,0,0.04,,,,,,,
Fantastic 4,XB,2005,Action,Activision,0.2,0.06,0,0.01,0.27,62,46,6.6,8,7 Studios,T,
Section 8,PC,2009,Shooter,SouthPeak Games,0.02,0.01,0,0,0.03,72,31,7,78,TimeGate Studios,T,
Yume Neko DS,DS,2008,Simulation,Sega,0,0,0.02,0,0.02,,,,,,,
Rune Factory: Tides of Destiny,Wii,2011,Role-Playing,Marvelous Interactive,0.13,0,0.06,0.01,0.19,,,7,11,Neverland,E10+,
M&M's Adventure,DS,2008,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.05,,,,,,,
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,2015,Fighting,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,,
Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,NewKidCo,0.14,0.04,0,0,0.18,,,,,,,
Guilty Gear X,PS2,2001,Fighting,Sammy Corporation,0.06,0.05,0,0.02,0.12,79,15,7.8,16,Arc System Works,T,
24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,62,53,8.2,40,SCE Studio Cambridge,M,
NBA Live 96,PS,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33,,,,,,,
Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.64,0.18,0,0.03,0.85,88,26,8.9,14,EA Sports,E,
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,0.34,0.18,0,0.02,0.55,93,22,8.4,17,Neversoft Entertainment,T,
Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.42,0.07,0,0.04,0.53,,,,,THQ,E,
Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86,47,7.7,180,Arc System Works,T,
Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0,0.04,0.47,,,,,,,
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo,0.63,0.16,0,0.02,0.81,86,55,7.2,74,Nintendo,E,
Lucky Luke,PS,1998,Platform,Ocean,0.13,0.09,0,0.02,0.24,,,,,,,
SpongeBob's Boating Bash,DS,2010,Misc,THQ,0.13,0,0,0.01,0.15,,,,,Firebrand Games,E,
The Smurfs 2,DS,2013,Platform,Ubisoft,0,0.17,0,0.01,0.18,,,,,WayForward,E,
Voodoo Chronicles: First Sign,PC,2011,Adventure,ValuSoft,0.02,0,0,0,0.02,,,,,,,
Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,Strategy,Konami Digital Entertainment,0,0.03,0.18,0.01,0.22,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0,0.02,1.29,49,10,6.2,5,Pocket Studios,E,
Castlevania Dracula X,SNES,1995,Platform,Konami Digital Entertainment,0.03,0.01,0.05,0,0.09,,,,,,,
Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,2005,Misc,Namco Bandai Games,0,0,0.04,0,0.04,,,,,,,
NCAA Football 98,PS,1997,Sports,Electronic Arts,0.39,0.27,0,0.05,0.7,,,,,,,
Disney Sports Skateboarding,GBA,2002,Sports,Konami Digital Entertainment,0.05,0.02,0,0,0.07,42,6,,,Konami,E,
The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0.31,0.3,0,0.07,0.69,50,12,3.3,4,Full Fat,E,
Race Driver 2006,PSP,2006,Racing,Codemasters,0.03,0,0,0,0.03,81,16,8.5,6,Sumo Digital,T,
Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0,0,0.18,0,0.18,,,,,,,
MTX Mototrax,XB,2004,Racing,Activision,0.07,0.02,0,0,0.1,79,39,,,Left Field Productions,E,
Dead or Alive 5,PSV,2013,Fighting,Tecmo Koei,0,0.05,0.03,0.01,0.09,,,,,,,
NFL Head Coach 09,PS3,2008,Sports,Electronic Arts,0.13,0,0,0.01,0.14,64,12,7.1,12,EA Tiburon,E,
Rogue Ops,XB,2003,Action,Kemco,0.1,0.03,0,0,0.13,63,24,,,Bits Studios,M,
The Sims 4,PC,2014,Simulation,Electronic Arts,1,1.82,0,0.23,3.05,70,74,3.9,2057,Maxis,T,
Mata Hari: Betrayal is only a Kiss Away,PC,2008,Adventure,DTP Entertainment,0,0.02,0,0,0.02,63,11,,,DTP Entertainment,T,
Turok,PS3,2008,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67,38,6,39,Propaganda Games,M,
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Oxygen Interactive,0.82,0.64,0,0.22,1.68,,,,,,,
Football Manager 2007,X360,N/A,Sports,Sega,0,0.01,0,0,0.01,,,,,,,
Tales of the World: Narikiri Dungeon 2,GBA,2002,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,,
Blasto,PS,1998,Action,Sony Computer Entertainment,0.2,0.13,0,0.02,0.35,,,,,,,
Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0.02,0,0.02,,,,,,,
Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,0.11,0,0,0.01,0.12,64,4,8.4,18,Ubisoft,E,
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0,0.05,0.35,81,52,7.9,110,Nadeo,E,
The Story of Noah's Ark,DS,2010,Action,SouthPeak Games,0.09,0,0,0.01,0.09,,,,,,,
NHL 16,XOne,2015,Sports,Electronic Arts,0.38,0.05,0,0.05,0.48,80,18,6,81,"EA Sports, EA Canada",E10+,
James Bond 007: Everything or Nothing,GBA,2003,Shooter,Electronic Arts,0.12,0.04,0,0,0.17,73,17,8.3,11,Griptonite Games,T,
Kikou Heidan J-Phoenix: Cobalt Shoutaihen,PS2,2002,Action,Takara,0,0,0.02,0,0.02,,,,,,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96,80,8.9,968,Nintendo,E,
Sengoku Basara 2,PS2,2006,Action,Capcom,0,0,0.26,0,0.26,,,,,,,
Catwoman,GBA,2004,Action,Electronic Arts,0.03,0.01,0,0,0.04,61,7,,,Magic Pockets,T,
Ratatouille,GC,2007,Action,THQ,0.11,0.03,0,0,0.14,60,7,5.6,7,Asobo Studio,E,
MotoGP 09/10,X360,2010,Racing,Capcom,0.07,0.09,0,0.02,0.17,69,41,5.7,41,Monumental Games,E,
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.35,0,0,0.02,0.38,,,,,Black Lantern Studios,EC,
Star Wars The Clone Wars: Republic Heroes,PC,2009,Action,LucasArts,0,0.02,0,0,0.03,46,9,4.7,46,"LucasArts, Krome Studios",T,
"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS,2007,Role-Playing,D3Publisher,0,0,0.09,0,0.09,,,,,,,
Jimmy Neutron: Boy Genius,GC,2002,Platform,THQ,0.07,0.02,0,0,0.09,42,4,5.1,7,Big Sky Software,E,
Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.41,0.44,0.72,0.17,1.74,78,38,8.3,444,Capcom,M,
BioShock 2,PC,N/A,Shooter,Take-Two Interactive,0.02,0.19,0,0.04,0.24,88,36,8,1247,2K Marin,M,
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.04,0.21,0.02,0.46,81,14,7.6,22,"Nintendo, Headstrong Games",E,
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,Insomniac Games,M,
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77,66,8,96,Silicon Studio,E10+,
Dragon Force,SAT,1996,Strategy,Sega,0,0,0.3,0,0.3,,,,,,,
Scooby-Doo! Mystery Mayhem,XB,2004,Action,THQ,0.11,0.03,0,0.01,0.15,,,,,,,
Monster Jam: Path of Destruction,DS,2010,Racing,Activision,0.34,0,0,0.03,0.37,,,,,Virtuos,E,
TouchMaster: Connect,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,0.1,0.16,0,0.03,0.29,,,,,DoubleTap Games,E,
Persona 5,PS3,2016,Role-Playing,Unknown,0,0,0.11,0,0.11,,,,,Atlus,,
ESPN NHL Hockey,PS2,2003,Sports,Sega,0.11,0.09,0,0.03,0.23,90,19,7,22,Kush Games,E,
Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,0.16,0,0,0.01,0.17,,,5.2,5,High Voltage Software,E10+,
Sacred Gold,PC,2005,Role-Playing,Encore,0,0.02,0,0,0.02,,,8.2,25,Ascaron Entertainment GmbH,T,
RPG Tsukuru DS,DS,2010,Role-Playing,Enterbrain,0,0,0.05,0,0.05,,,,,,,
Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87,65,17,,,Pandemic Studios,E,
Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.11,0,0.06,0.43,77,5,7.1,29,Ubisoft,E10+,
LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts,0.1,0.13,0,0.03,0.25,76,14,7.5,44,Traveller's Tales,E10+,
Skylanders: Spyro's Adventure,X360,2011,Action,Activision,0.53,0.34,0,0.1,0.97,78,35,5.2,53,Toys for Bob,E10+,
Watashi no Relaxuma,DS,2007,Simulation,Rocket Company,0,0,0.04,0,0.04,,,,,,,
SSX 3,GC,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.38,92,27,8.7,45,EA Canada,E,
Stuntman: Ignition,PS3,2007,Racing,THQ,0.17,0.26,0,0.1,0.52,76,18,6.2,12,Paradigm Entertainment,T,
Shark Tale,PS2,2004,Action,Activision,0.37,0.29,0,0.1,0.75,69,30,6.5,6,Edge of Reality,E,
Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48,,,,,,,
